Index,AttackingType,DefendingType,Modifier
NormalNormal,Normal,Normal,1
NormalFighting,Normal,Fighting,1
NormalFlying,Normal,Flying,1
NormalPoison,Normal,Poison,1
NormalGround,Normal,Ground,1
NormalRock,Normal,Rock,0.5
NormalBug,Normal,Bug,1
NormalGhost,Normal,Ghost,0
NormalSteel,Normal,Steel,0.5
NormalFire,Normal,Fire,1
NormalWater,Normal,Water,1
NormalGrass,Normal,Grass,1
NormalElectric,Normal,Electric,1
NormalPsychic,Normal,Psychic,1
NormalIce,Normal,Ice,1
NormalDragon,Normal,Dragon,1
NormalDark,Normal,Dark,1
NormalFairy,Normal,Fairy,1
FightingNormal,Fighting,Normal,2
FightingFighting,Fighting,Fighting,1
FightingFlying,Fighting,Flying,0.5
FightingPoison,Fighting,Poison,0.5
FightingGround,Fighting,Ground,1
FightingRock,Fighting,Rock,2
FightingBug,Fighting,Bug,0.5
FightingGhost,Fighting,Ghost,0
FightingSteel,Fighting,Steel,2
FightingFire,Fighting,Fire,1
FightingWater,Fighting,Water,1
FightingGrass,Fighting,Grass,1
FightingElectric,Fighting,Electric,1
FightingPsychic,Fighting,Psychic,0.5
FightingIce,Fighting,Ice,2
FightingDragon,Fighting,Dragon,1
FightingDark,Fighting,Dark,2
FightingFairy,Fighting,Fairy,0.5
FlyingNormal,Flying,Normal,1
FlyingFighting,Flying,Fighting,2
FlyingFlying,Flying,Flying,1
FlyingPoison,Flying,Poison,1
FlyingGround,Flying,Ground,1
FlyingRock,Flying,Rock,0.5
FlyingBug,Flying,Bug,2
FlyingGhost,Flying,Ghost,1
FlyingSteel,Flying,Steel,0.5
FlyingFire,Flying,Fire,1
FlyingWater,Flying,Water,1
FlyingGrass,Flying,Grass,2
FlyingElectric,Flying,Electric,0.5
FlyingPsychic,Flying,Psychic,1
FlyingIce,Flying,Ice,1
FlyingDragon,Flying,Dragon,1
FlyingDark,Flying,Dark,1
FlyingFairy,Flying,Fairy,1
PoisonNormal,Poison,Normal,1
PoisonFighting,Poison,Fighting,1
PoisonFlying,Poison,Flying,1
PoisonPoison,Poison,Poison,0.5
PoisonGround,Poison,Ground,0.5
PoisonRock,Poison,Rock,0.5
PoisonBug,Poison,Bug,1
PoisonGhost,Poison,Ghost,0.5
PoisonSteel,Poison,Steel,0
PoisonFire,Poison,Fire,1
PoisonWater,Poison,Water,1
PoisonGrass,Poison,Grass,2
PoisonElectric,Poison,Electric,1
PoisonPsychic,Poison,Psychic,1
PoisonIce,Poison,Ice,1
PoisonDragon,Poison,Dragon,1
PoisonDark,Poison,Dark,1
PoisonFairy,Poison,Fairy,2
GroundNormal,Ground,Normal,1
GroundFighting,Ground,Fighting,1
GroundFlying,Ground,Flying,0
GroundPoison,Ground,Poison,2
GroundGround,Ground,Ground,1
GroundRock,Ground,Rock,2
GroundBug,Ground,Bug,0.5
GroundGhost,Ground,Ghost,1
GroundSteel,Ground,Steel,2
GroundFire,Ground,Fire,2
GroundWater,Ground,Water,1
GroundGrass,Ground,Grass,0.5
GroundElectric,Ground,Electric,2
GroundPsychic,Ground,Psychic,1
GroundIce,Ground,Ice,1
GroundDragon,Ground,Dragon,1
GroundDark,Ground,Dark,1
GroundFairy,Ground,Fairy,1
RockNormal,Rock,Normal,1
RockFighting,Rock,Fighting,0.5
RockFlying,Rock,Flying,2
RockPoison,Rock,Poison,1
RockGround,Rock,Ground,0.5
RockRock,Rock,Rock,1
RockBug,Rock,Bug,2
RockGhost,Rock,Ghost,1
RockSteel,Rock,Steel,0.5
RockFire,Rock,Fire,2
RockWater,Rock,Water,1
RockGrass,Rock,Grass,1
RockElectric,Rock,Electric,1
RockPsychic,Rock,Psychic,1
RockIce,Rock,Ice,2
RockDragon,Rock,Dragon,1
RockDark,Rock,Dark,1
RockFairy,Rock,Fairy,1
BugNormal,Bug,Normal,1
BugFighting,Bug,Fighting,0.5
BugFlying,Bug,Flying,0.5
BugPoison,Bug,Poison,0.5
BugGround,Bug,Ground,1
BugRock,Bug,Rock,1
BugBug,Bug,Bug,1
BugGhost,Bug,Ghost,0.5
BugSteel,Bug,Steel,0.5
BugFire,Bug,Fire,0.5
BugWater,Bug,Water,1
BugGrass,Bug,Grass,2
BugElectric,Bug,Electric,1
BugPsychic,Bug,Psychic,2
BugIce,Bug,Ice,1
BugDragon,Bug,Dragon,1
BugDark,Bug,Dark,2
BugFairy,Bug,Fairy,0.5
GhostNormal,Ghost,Normal,0
GhostFighting,Ghost,Fighting,1
GhostFlying,Ghost,Flying,1
GhostPoison,Ghost,Poison,1
GhostGround,Ghost,Ground,1
GhostRock,Ghost,Rock,1
GhostBug,Ghost,Bug,1
GhostGhost,Ghost,Ghost,2
GhostSteel,Ghost,Steel,1
GhostFire,Ghost,Fire,1
GhostWater,Ghost,Water,1
GhostGrass,Ghost,Grass,1
GhostElectric,Ghost,Electric,1
GhostPsychic,Ghost,Psychic,2
GhostIce,Ghost,Ice,1
GhostDragon,Ghost,Dragon,1
GhostDark,Ghost,Dark,0.5
GhostFairy,Ghost,Fairy,1
SteelNormal,Steel,Normal,1
SteelFighting,Steel,Fighting,1
SteelFlying,Steel,Flying,1
SteelPoison,Steel,Poison,1
SteelGround,Steel,Ground,1
SteelRock,Steel,Rock,2
SteelBug,Steel,Bug,1
SteelGhost,Steel,Ghost,1
SteelSteel,Steel,Steel,0.5
SteelFire,Steel,Fire,0.5
SteelWater,Steel,Water,0.5
SteelGrass,Steel,Grass,1
SteelElectric,Steel,Electric,0.5
SteelPsychic,Steel,Psychic,1
SteelIce,Steel,Ice,2
SteelDragon,Steel,Dragon,1
SteelDark,Steel,Dark,1
SteelFairy,Steel,Fairy,2
FireNormal,Fire,Normal,1
FireFighting,Fire,Fighting,1
FireFlying,Fire,Flying,1
FirePoison,Fire,Poison,1
FireGround,Fire,Ground,1
FireRock,Fire,Rock,0.5
FireBug,Fire,Bug,2
FireGhost,Fire,Ghost,1
FireSteel,Fire,Steel,2
FireFire,Fire,Fire,0.5
FireWater,Fire,Water,0.5
FireGrass,Fire,Grass,2
FireElectric,Fire,Electric,1
FirePsychic,Fire,Psychic,1
FireIce,Fire,Ice,2
FireDragon,Fire,Dragon,0.5
FireDark,Fire,Dark,1
FireFairy,Fire,Fairy,1
WaterNormal,Water,Normal,1
WaterFighting,Water,Fighting,1
WaterFlying,Water,Flying,1
WaterPoison,Water,Poison,1
WaterGround,Water,Ground,2
WaterRock,Water,Rock,2
WaterBug,Water,Bug,1
WaterGhost,Water,Ghost,1
WaterSteel,Water,Steel,1
WaterFire,Water,Fire,2
WaterWater,Water,Water,0.5
WaterGrass,Water,Grass,0.5
WaterElectric,Water,Electric,1
WaterPsychic,Water,Psychic,1
WaterIce,Water,Ice,1
WaterDragon,Water,Dragon,0.5
WaterDark,Water,Dark,1
WaterFairy,Water,Fairy,1
GrassNormal,Grass,Normal,1
GrassFighting,Grass,Fighting,1
GrassFlying,Grass,Flying,0.5
GrassPoison,Grass,Poison,0.5
GrassGround,Grass,Ground,2
GrassRock,Grass,Rock,2
GrassBug,Grass,Bug,0.5
GrassGhost,Grass,Ghost,1
GrassSteel,Grass,Steel,0.5
GrassFire,Grass,Fire,0.5
GrassWater,Grass,Water,2
GrassGrass,Grass,Grass,0.5
GrassElectric,Grass,Electric,1
GrassPsychic,Grass,Psychic,1
GrassIce,Grass,Ice,1
GrassDragon,Grass,Dragon,0.5
GrassDark,Grass,Dark,1
GrassFairy,Grass,Fairy,1
ElectricNormal,Electric,Normal,1
ElectricFighting,Electric,Fighting,1
ElectricFlying,Electric,Flying,2
ElectricPoison,Electric,Poison,1
ElectricGround,Electric,Ground,0
ElectricRock,Electric,Rock,1
ElectricBug,Electric,Bug,1
ElectricGhost,Electric,Ghost,1
ElectricSteel,Electric,Steel,1
ElectricFire,Electric,Fire,1
ElectricWater,Electric,Water,2
ElectricGrass,Electric,Grass,0.5
ElectricElectric,Electric,Electric,0.5
ElectricPsychic,Electric,Psychic,1
ElectricIce,Electric,Ice,1
ElectricDragon,Electric,Dragon,0.5
ElectricDark,Electric,Dark,1
ElectricFairy,Electric,Fairy,1
PsychicNormal,Psychic,Normal,1
PsychicFighting,Psychic,Fighting,2
PsychicFlying,Psychic,Flying,1
PsychicPoison,Psychic,Poison,2
PsychicGround,Psychic,Ground,1
PsychicRock,Psychic,Rock,1
PsychicBug,Psychic,Bug,1
PsychicGhost,Psychic,Ghost,1
PsychicSteel,Psychic,Steel,0.5
PsychicFire,Psychic,Fire,1
PsychicWater,Psychic,Water,1
PsychicGrass,Psychic,Grass,1
PsychicElectric,Psychic,Electric,1
PsychicPsychic,Psychic,Psychic,0.5
PsychicIce,Psychic,Ice,1
PsychicDragon,Psychic,Dragon,1
PsychicDark,Psychic,Dark,0
PsychicFairy,Psychic,Fairy,1
IceNormal,Ice,Normal,1
IceFighting,Ice,Fighting,1
IceFlying,Ice,Flying,2
IcePoison,Ice,Poison,1
IceGround,Ice,Ground,2
IceRock,Ice,Rock,1
IceBug,Ice,Bug,1
IceGhost,Ice,Ghost,1
IceSteel,Ice,Steel,0.5
IceFire,Ice,Fire,0.5
IceWater,Ice,Water,0.5
IceGrass,Ice,Grass,2
IceElectric,Ice,Electric,1
IcePsychic,Ice,Psychic,1
IceIce,Ice,Ice,0.5
IceDragon,Ice,Dragon,2
IceDark,Ice,Dark,1
IceFairy,Ice,Fairy,1
DragonNormal,Dragon,Normal,1
DragonFighting,Dragon,Fighting,1
DragonFlying,Dragon,Flying,1
DragonPoison,Dragon,Poison,1
DragonGround,Dragon,Ground,1
DragonRock,Dragon,Rock,1
DragonBug,Dragon,Bug,1
DragonGhost,Dragon,Ghost,1
DragonSteel,Dragon,Steel,0.5
DragonFire,Dragon,Fire,1
DragonWater,Dragon,Water,1
DragonGrass,Dragon,Grass,1
DragonElectric,Dragon,Electric,1
DragonPsychic,Dragon,Psychic,1
DragonIce,Dragon,Ice,1
DragonDragon,Dragon,Dragon,2
DragonDark,Dragon,Dark,1
DragonFairy,Dragon,Fairy,0
DarkNormal,Dark,Normal,1
DarkFighting,Dark,Fighting,0.5
DarkFlying,Dark,Flying,1
DarkPoison,Dark,Poison,1
DarkGround,Dark,Ground,1
DarkRock,Dark,Rock,1
DarkBug,Dark,Bug,1
DarkGhost,Dark,Ghost,2
DarkSteel,Dark,Steel,1
DarkFire,Dark,Fire,1
DarkWater,Dark,Water,1
DarkGrass,Dark,Grass,1
DarkElectric,Dark,Electric,1
DarkPsychic,Dark,Psychic,2
DarkIce,Dark,Ice,1
DarkDragon,Dark,Dragon,1
DarkDark,Dark,Dark,0.5
DarkFairy,Dark,Fairy,0.5
FairyNormal,Fairy,Normal,1
FairyFighting,Fairy,Fighting,2
FairyFlying,Fairy,Flying,1
FairyPoison,Fairy,Poison,0.5
FairyGround,Fairy,Ground,1
FairyRock,Fairy,Rock,1
FairyBug,Fairy,Bug,1
FairyGhost,Fairy,Ghost,1
FairySteel,Fairy,Steel,0.5
FairyFire,Fairy,Fire,0.5
FairyWater,Fairy,Water,1
FairyGrass,Fairy,Grass,1
FairyElectric,Fairy,Electric,1
FairyPsychic,Fairy,Psychic,1
FairyIce,Fairy,Ice,1
FairyDragon,Fairy,Dragon,2
FairyDark,Fairy,Dark,2
FairyFairy,Fairy,Fairy,1
